Chart Position,Song Title,Artist,Year,Length
29,Do You Know (What It Takes),Robyn,1997,
30,4 Seasons Of Loneliness,Boyz II Men,1997,
31,G.H.E.T.T.O.U.T.,Changing Faces,1997,
32,Honey,Mariah Carey,1997,
33,I Believe In You And Me,Whitney Houston,1997,
34,Da' Dip,Freaknasty,1997,
35,2 Become 1,Spice Girls,1997,
36,All For You,Sister Hazel,1997,
37,Cupid,12,1997,
38,Where Have All The Cowboys Gone?,Paula Cole,1997,
39,Sunny Came Home,Shawn Colvin,1997,
40,It's Your Love,Tim McGraw and Faith Hill,1997,
41,Ooh Aah... Just A Little Bit,Gina G,1997,
42,Mouth,Merril Bainbridge,1997,
43,All Cried Out,Allure Featuring 112,1997,
44,I'm Still In Love With You,New Edition,1997,
45,Invisible Man,98 Degrees,1997,
46,Not Tonight,Lil' Kim,1997,
47,Look Into My Eyes,Bone Thugs-N-Harmony,1997,
48,Get It Together,2,1997,
49,All By Myself,Celine Dion,1997,
50,It's All Coming Back To Me Now,Celine Dion,1997,
51,My Love Is The Shhh!,Somethin' For The People,1997,
52,Where Do You Go,No Mercy,1997,
53,I Finally Found Someon,Barbra Streisand and Bryan Adams,1997,
54,I'll Be,Foxy Brown Featuring Jay-Z,1997,
55,If It Makes You Happy,Sheryl Crow,1997,
56,Never Make A Promise,Dru Hill,1997,
57,When You Love A Woman,Journey,1997,
58,Up Jumps Da Boogie,Magoo And Timbaland,1997,
59,I Don't Want To/I Love Me Some Him,Toni Braxton,1997,
60,Everyday Is A Winding Road,Sheryl Crow,1997,
61,Cold Rock A Party,Mc Lyte,1997,
62,Pony,Ginuwine,1997,
63,Building A Mystery,Sarah McLachlan,1997,
64,I Love You Always Forever,Donna Lewis,1997,
65,Your Woman,White Town,1997,
66,C U When U Get There,Coolio,1997,
67,Change The World,Eric Clapton,1997,
68,My Baby Daddy,B-Rock and The Bizz,1997,
69,Tubthumping,Chumbawamba,1997,
70,Gotham City,R. Kelly,1997,
71,Last Night,Az Yet,1997,
72,ESPN Presents The Jock Jam,Various Artists,1997,
73,Big Daddy,Heavy D,1997,
74,What About Us,Total,1997,
75,Smile,Scarface,1997,
76,What's On Tonight,Montell Jordan,1997,
77,Secret Garden,Bruce Springsteen,1997,
78,The One I Gave My Heart,w Aaliyah,1997,
79,Fly Like An Eagle,Seal,1997,
80,No Time,Lil' Kim,1997,
81,Naked Eye,Luscious Jackson,1997,
82,Macarena (Bayside Boys Mix),Los Del Rio,1997,
83,On and On,Erykah Badu,1997,
84,Don't Wanna Be A Player,Joe,1997,
85,I Shot The Sheriff,Warren G,1997,
86,You Should Be Mine ,Brian McKnight Featuring Mase,1997,
87,Don't Cry For Me Argentina,Madonna,1997,
88,Someone,SWV,1997,
89,Go The Distance,Michael Bolton,1997,
90,One More Time,Real McCoy,1997,
91,Butta Love,Next,1997,
92,Coco Jamboo,Mr. President,1997,
93,Twisted,Keith Sweat,1997,
94,Barbie Girl,Aqua,1997,
95,When You're Gone/Free To Decide,Cranberries,1997,
96,Let Me Clear My Throat,DJ Kool,1997,
97,I Like It,Blackout Allstars,1997,
98,You're Makin' Me High/Let It Flow,Toni Braxton,1997,
99,You Must Love Me,Madonna,1997,
100,Let It Go,Ray J,1997,
1,Too Close,Next,1998,
2,The Boy Is Mine,Brandy and Monica,1998,
3,You're Still The One,Shania Twain,1998,
4,Truly Madly Deeply,Savage Garden,1998,
5,How Do I Live,LeAnn Rimes,1998,
6,Together Again,Janet,1998,
7,All My Life,K-Ci and JoJo,1998,
8,Candle In The Wind 1997,Elton John,1998,
9,Nice and Slow,Usher,1998,
10,I Don't Want To Wait,Paula Cole,1998,
11,How's It Going To Be,Third Eye Blind,1998,
12,No,No,1998,
13,My Heart Will Go On,Celine Dion,1998,
14,Gettin' Jiggy Wit,Will Smith,1998,
15,You Make Me Wanna...,Usher,1998,
16,My Way,Usher,1998,
17,My All,Mariah Carey,1998,
18,The First Night,Monica,1998,
19,Been Around The World,Puff Daddy and The Family,1998,
20,Adia,Sarah McLachlan,1998,
21,Crush,Jennifer Paige,1998,
22,Everybody (Backstreet's Back),Backstreet Boys,1998,
23,I Don't Want To Miss A Thing,Aerosmith,1998,
24,Body Bumpin Yippie-Yi-Yo,Public Announcement,1998,
25,This Kiss,Faith Hill,1998,
26,I Don't Ever Want To See You Again,Uncle Sam,1998,
27,Let's Ride,Montell Jordan,1998,
28,Sex And Candy,Marcy Playground,1998,
29,Show Me Love,Robyn,1998,
30,A Song For Mama,Boyz II Men,1998,
31,What You Want,Mase,1998,
32,Frozen,Madonna,1998,
33,Gone Till November,Wyclef Jean,1998,
34,My Body,Lsg,1998,
35,Tubthumping,Chumbawamba,1998,
36,Deja Vu (Uptown Baby),Lord Tariq and Peter Gunz,1998,
37,I Want You Back,N Sync,1998,
38,When The Lights Go Out,Five,1998,
39,They Don't Know,Jon B.,1998,
40,Make Em' Say Uhh!,Master P,1998,
41,Make It Hot,"Nicole W/ Missy ""Misdemeanor"" Elliott ",1998,
42,Never Eve,All Saints,1998,
43,I Get Lonely,Janet,1998,
44,Feel So Good,Mase,1998,
45,Say It,Voices Of Theory,1998,
46,Kiss The Rain,Billie Myers,1998,
47,Come With Me,Puff Daddy,1998,
48,Romeo And Juliet,Sylk-E Fyne,1998,
49,It's All About Me,Mya and Sisqo,1998,
50,I Will Come To You,Hanson,1998,
51,One Week,Barenaked Ladies,1998,
52,Swing My Way,K.P. and Envyi,1998,
53,The Arms Of The One Who Loves You,Xscape,1998,
54,My Love Is The Shhh!,Somethin' For The People,1998,
55,Daydreamin',Tatyana Ali,1998,
56,We're Not Making Love No More,Dru Hill,1998,
57,Semi-Charmed Life,Third Eye Blind,1998,
58,I Do,Lisa Loeb,1998,
59,Lookin' At Me,Mase,1998,
60,Looking Through Your Eyes,LeAnn Rimes,1998,
61,Lately,Divine,1998,
62,Quit Playing Games (With My Heart),Backstreet Boys,1998,
63,I Still Love You,Next,1998,
64,Time After Time,Inoj,1998,
65,Are You Jimmy Ray?,Jimmy Ray,1998,
66,Cruel Summer,Ace Of Base,1998,
67,I Got The Hook Up!,Master P,1998,
68,Victory,Puff Daddy and The Family,1998,
69,Too Much,Spice Girls,1998,
70,Ghetto Supastar (That Is What You Are),Pras Feat. Ol' Dirty Bastard and Mya,1998,
71,How Deep Is Your Love,Dru Hill Featuring Redman,1998,
72,Friend Of Mine,Kelly Price,1998,
73,Turn It Up [Remix]/Fire It Up,Busta Rhymes,1998,
74,I'll Be,Edwin McCain,1998,
75,Ray Of Light,Madonna,1998,
76,All For You,Sister Hazel,1998,
77,Touch It,Monifah,1998,
78,Money,Power and Respect,1998,
79,Bitter Sweet Symphony,The Verve,1998,
80,Dangerous,Busta Rhymes,1998,
81,Spice Up Your Life,Spice Girls,1998,
82,Because Of You,98 Degrees,1998,
83,The Mummers' Dance,Loreena McKennitt,1998,
84,All Cried Out,Allure Featuring 112,1998,
85,Still Not A Player,Big Punisher Featuring Joe,1998,
86,The One I Gave My Heart To,Aaliyah,1998,
87,Foolish Games/You Were Meant For Me,Jewel,1998,
88,Love You Down,Inoj,1998,
89,Do For Love,2Pac,1998,
90,Raise The Roof,Luke,1998,
91,Heaven,Nu Flavor,1998,
92,The Party Continues,Jd,1998,
93,Sock It 2 Me,"Missy ""Misdemeanor"" Elliott W/ Da Brat",1998,
94,Butta Love,Next,1998,
95,A Rose Is Still A Rose,Aretha Franklin,1998,
96,4 Seasons Of Loneliness,Boyz II Men,1998,
97,Father,LL Cool J,1998,
98,Thinkin' Bout It,Gerald Levert,1998,
99,Nobody's Supposed To Be Here,Deborah Cox,1998,
100,Westside,TQ,1998,
1,Believe,Cher,1999,
2,No Scrubs,TLC,1999,
3,Angel Of Mine,Monica,1999,
4,Heartbreak Hotel,Whitney Houston,1999,
5,Baby One More Time,Britney Spears,1999,
6,Kiss Me,Sixpence None The Richer,1999,
7,Genie In A Bottle,Christina Aguilera,1999,
8,Every Morning,Sugar Ray,1999,
9,Nobody's Supposed To Be Here,Deborah Cox,1999,
10,Livin' La Vida Loca,Ricky Martin,1999,
11,Where My Girls At?,2,1999,
12,If You Had My Love,Jennifer Lopez,1999,
13,Slide,Goo Goo Dolls,1999,
14,Have You Ever?,Brandy,1999,
15,I Want It That Way,Backstreet Boys,1999,
16,I'm Your Angel,R. Kelly and Celine Dion,1999,
17,All Star,Smash Mouth,1999,
18,Angel,Sarah McLachlan,1999,
19,Smooth,Santana Featuring Rob Thomas,1999,
20,Unpretty,TLC,1999,
21,Bills,Bills,1999,
22,Save Tonight,Eagle-Eye Cherry,1999,
23,Last Kiss,Pearl Jam,1999,
24,Fortunate,Maxwell,1999,
25,All I Have To Give,Backstreet Boys,1999,
26,Bailamos,Enrique Iglesias,1999,
27,What's It Gonna Be?!,Busta Rhymes Featuring Janet,1999,
28,What It's Like,Everlast,1999,
29,Fly Away,Lenny Kravitz,1999,
30,Someday,Sugar Ray,1999,
31,Lately,Divine,1999,
32,That Don't Impress Me Much,Shania Twain,1999,
33,Wild Wild West,Will Smith w / Dru Hill and Kool Moe Dee,1999,
34,Scar Tissue,Red Hot Chili Peppers,1999,
35,Heartbreaker,Mariah Carey Featuring Jay-Z,1999,
36,I Still Believe,Mariah Carey,1999,
37,The Hardest Thing,98 Degrees,1999,
38,Summer Girls,LFO,1999,
39,Can I Get A...,Jay-Z Featuring Amil,1999,
40,Jumper,Third Eye Blind,1999,
41,Doo Wop (That Thing),Lauryn Hill,1999,
42,Mambo No. 5 (A Little Bit Of...),Lou Bega,1999,
43,Sweet Lady,Tyrese,1999,
44,It's Not Right But It's Okay,Whitney Houston,1999,
45,God Spent A Little More Time On You,N Sync,1999,
46,Lullaby,Shawn Mullins,1999,
47,Anywhere,112 Featuring Lil'Z,1999,
48,Tell Me It's Real,K-Ci and JoJo,1999,
49,Back 2 Good,Matchbox 20,1999,
50,808,Blaque,1999,
51,She's So High,Tal Bachman,1999,
52,She's All I Ever Had,Ricky Martin,1999,
53,Miami,Will Smith,1999,
54,Hands,Jewel,1999,
55,Who Dat,JT Money Featuring Sole,1999,
56,Please Remember Me,Tim McGraw,1999,
57,From This Moment On,Shania Twain,1999,
58,Love Like This,Faith Evans,1999,
59,You,Jesse Powell,1999,
60,Trippin',Total Featuring Missy Elliott,1999,
61,If You (Lovin' Me),Silk,1999,
62,Ex-Factor,Lauryn Hill,1999,
63,Give It To You,Jordan Knight,1999,
64,Black Balloon,Goo Goo Dolls,1999,
65,Spend My Life With You,Eric Benet Featuring Tamia,1999,
66,These Are The Times,Dru Hill,1999,
67,I Don't Want To Miss A Thing,Mark Chesnutt,1999,
68,I Do (Cherish You),98 Degrees,1999,
69,Because Of You,98 Degrees,1999,
70,I Will Remember You (Live),Sarah McLachlan,1999,
71,Chante's Got A Man,Chante Moore,1999,
72,Happily Ever After,Case,1999,
73,My Love Is Your Love,Whitney Houston,1999,
74,All Night Long,Faith Evans Featuring Puff Daddy,1999,
75,Back That Thang Up,Juvenile w / Mannie Fresh and Lil' Wayne,1999,
76,Almost Doesn't Count,Brandy,1999,
77,Man! I Feel Like A Woman!,Shania Twain,1999,
78,Steal My Sunshine,Len,1999,
79,I Need To Know,Marc Anthony,1999,
80,So Anxious,Ginuwine,1999,
81,Faded Pictures,Case and Joe,1999,
82,Back At One,Brian McKnight,1999,
83,When A Woman's Fed Up,R. Kelly,1999,
84,How Forever Feels,Kenny Chesney,1999,
85,Amazed,Lonestar,1999,
86,Sometimes,Britney Spears,1999,
87,Ghetto Cowboy,Mo Thugs w / Bone Thugs-N-Harmony,1999,
88,Out Of My Head,Fastball,1999,
89,Hard Knock Life (Ghetto Anthem),Jay-Z,1999,
90,Jamboree,Naughty By Nature Featuring Zhane,1999,
91,Take Me There,BLACKstreet and Mya,1999,
92,Stay The Same,Joey McIntyre,1999,
93,Lesson In Leavin',Jo Dee Messina,1999,
94,Iris,Goo Goo Dolls,1999,
95,Satisfy You,Puff Daddy Featuring R. Kelly,1999,
96,Better Days (And The Bottom Drops Out),Citizen King,1999,
97,Music Of My Heart,N Sync and Gloria Estefan,1999,
98,Write This Down,George Strait,1999,
99,When You Believe,Whitney Houston and Mariah Carey,1999,
100,God Spent A Little More Time On You,Alabama Featuring 'N Sync,1999,
1,Breathe,Faith Hill,2000,
2,Smooth,Santana Featuring Rob Thomas,2000,
3,Say My Name,Destiny's Child,2000,
4,I Wanna Know,Joe,2000,
5,Everything You Want,Vertical Horizon,2000,
6,Maria Maria,Santana Featuring The Product G&B,2000,
7,Bent,Matchbox Twenty,2000,
8,Amazed,Lonestar,2000,
9,I Knew I Loved You,Savage Garden,2000,
10,He Wasn't Man Enough,Toni Braxton,2000,
11,Higher,Creed,2000,
12,Try Again,Aaliyah,2000,
13,There You Go,Pink,2000,
14,Thong Song,Sisqo,2000,
15,Kryptonite,3 Doors Down,2000,
16,Jumpin Jumpin',Destiny's Child,2000,
17,What A Girl Wants,Christina Aguilera,2000,
18,Doesn't Really Matter,Janet,2000,
19,Music,Madonna,2000,
20,Back At One,Brian McKnight,2000,
21,Bye Bye Bye,N Sync,2000,
22,You Sang To Me,Marc Anthony,2000,
23,I Need To Know,Marc Anthony,2000,
24,Get It On Tonite,Montell Jordan,2000,
25,Incomplete,Sisqo,2000,
26,I Try,Macy Gray,2000,
27,It's Gonna Be Me,N Sync,2000,
28,That's The Way It Is,Celine Dion,2000,
29,(Hot S**T) Country Grammar,Nelly,2000,
30,Bring It All To Me,Blaque,2000,
31,Show Me The Meaning Of Being Lonely,Backstreet Boys,2000,
32,Hot Boyz,Missy Elliott Featuring Nas,2000,
33,Back Here,BBMak,2000,
34,It Feels So Good,Sonique,2000,
35,Absolutely (Story Of A Girl),Nine Days,2000,
36,With Arms Wide Open,Creed,2000,
37,Be With You,Enrique Iglesias,2000,
38,Come On Over Baby (All I Want Is You),Christina Aguilera,2000,
39,No More,Ruff Endz,2000,
40,All The Small Things,Blink 182,2000,
41,The Way You Love Me,Faith Hill,2000,
42,I Turn To You,Christina Aguilera,2000,
43,Never Let You Go,Third Eye Blind,2000,
44,I Need You,LeAnn Rimes,2000,
45,Thank God I Found You,Mariah Carey w / Joe & 98 Degrees,2000,
46,Let's Get Married,Jagged Edge,2000,
47,My Love Is Your Love,Whitney Houston,2000,
48,Then The Morning Comes,Smash Mouth,2000,
49,Blue (Da Ba Dee),iffel 65,2000,
50,Desert Rose,Sting Featuring Cheb Mami,2000,
51,The Real Slim Shady,Eminem,2000,
52,Most Girls,Pink,2000,
53,Wifey,Next,2000,
54,Wonderful,Everclear,2000,
55,Oops!... I Did It Again,Britney Spears,2000,
56,I Wanna Love You Forever,Jessica Simpson,2000,
57,Give Me Just One Night (Una Noche ),98 Degrees,2000,
58,Take A Picture,Filter,2000,
59,Otherside,Red Hot Chili Peppers,2000,
60,Big Pimpin',Jay-Z Featuring UGK,2000,
61,Purest Of Pain (A Puro Dolor),Son By Four,2000,
62,He Can't Love U,Jagged Edge,2000,
63,Separated,Avant,2000,
64,I Wish,Carl Thomas,2000,
65,U Know What's Up,Donell Jones,2000,
66,Faded,SoulDecision Featuring Thrust,2000,
67,Only God Knows Why,Kid Rock,2000,
68,Shake Ya Ass,Mystikal,2000,
69,Bag Lady,Erykah Badu,2000,
70,Meet Virginia,Train,2000,
71,Party Up (Up In Here),DMX,2000,
72,Case Of The Ex (Whatcha Gonna Do),Mya,2000,
73,Forget About Dre,Dr. Dre Featuring Eminem,2000,
74,That's The Way,Jo Dee Messina,2000,
75,Swear It Again,Westlife,2000,
76,The Next Episode,Dr. Dre Featuring Snoop Dogg,2000,
77,From The Bottom Of My Broken Heart,Britney Spears,2000,
78,Crash And Burn,Savage Garden,2000,
79,Yes!,Chad Brock,2000,
80,The Best Day,George Strait,2000,
81,How Do You Like Me Now?!,Toby Keith,2000,
82,Where I Wanna Be,Donell Jones,2000,
83,My Best Friend,Tim McGraw,2000,
84,Broadway,Goo Goo Dolls,2000,
85,Dance With Me,Debelah Morgan,2000,
86,Don't Think I'm Not,Kandi,2000,
87,I Hope You Dance,Lee Ann Womack & Sons Of The Desert,2000,
88,Better Off Alone,Alice Deejay,2000,
89,What'chu Like,Da Brat Featuring Tyrese,2000,
90,Cowboy Take Me Away,Dixie Chicks,2000,
91,I Like It,Sammie,2000,
92,24/7,Kevon Edmonds,2000,
93,Girl On TV,LFO,2000,
94,Bounce With Me,Lil Bow Wow Featuring Xscape,2000,
95,What About Now,Lonestar,2000,
96,I Don't Wanna,Aaliyah,2000,
97,Independent Women Part I,Destiny's Child,2000,
98,Shackles (Praise You),Mary Mary,2000,
99,Waiting For Tonight,Jennifer Lopez,2000,
100,Gotta Tell You,Samantha Mumba,2000,
1,Lady Marmalade ,Christina Aguilera & Lil' Kim,2001,
2,Fallin',Alicia Keys,2001,
3,I'm Real,Jennifer Lopez,2001,
4,Family Affair,Mary J. Blige,2001,
5,Butterfly,Crazy Town,2001,
6,Thank You,Dido,2001,
7,Don't Tell Me,Madonna,2001,
8,He Loves U Not,Dream,2001,
9,Gone,N Sync,2001,
10,Love Don't Cost A Thing,Jennifer Lopez,2001,
11,Hero,Enrique Iglesias,2001,
12,Hanging By A Moment,Lifehouse,2001,
13,Drops Of Jupiter,Train,2001,
14,Jaded,Aerosmith,2001,
15,U Remind Me,Usher,2001,
16,Hit 'Em Up Style,Blu Cantrell,2001,
17,Survivor,Destiny's Child,2001,
18,It Wasn't Me,"Shaggy w / Ricardo ""Rikrok"" Ducent",2001,
19,All For You,Janet Jackson,2001,
20,Angel,Shaggy featuring Rayvon,2001,
21,Turn Off The Light,Nelly Furtado,2001,
22,All Or Nothing,O-Town,2001,
23,How You Remind Me,Nickelback,2001,
24,Someone To Call My Lover,Janet Jackson,2001,
25,Fill Me In,Craig David,2001,
26,It's Been Awhile,Staind,2001,
27,I'm Like A Bird,Nelly Furtado,2001,
28,Bootylicious,Destiny's Child,2001,
29,Again,Lenny Kravitz,2001,
30,Let Me Blow Ya Mind,Eve featuring Gwen Stefani,2001,
31,Everywhere,Michelle Branch,2001,
32,Stutter,Joe featuring Mystikal,2001,
33,Irresistable,Jessica Simpson,2001,
34,I Hope You Dance,Lee Ann Womack,2001,
35,Nobody Wants To Be Lonely,Ricky Martin & Christina Aguilera,2001,
36,Here's To The Night,Eve 6,2001,
37,Beautiful Day,U2,2001,
38,Emotion,Destiny's Child,2001,
39,Superman (It's Not Easy),Five For Fighting,2001,
40,Southside,Moby with Gwen Stefani,2001,
41,The Space Between,Dave Matthews Band,2001,
42,Play,Jennifer Lopez,2001,
43,When It's Over,Sugar Ray,2001,
44,Drive,Incubus,2001,
45,More Than That,Backstreet Boys,2001,
46,What Would You,Do City High,2001,
47,Be Like That,3 Doors Down,2001,
48,I Wanna Be Bad,Willa Ford,2001,
49,Peaches & Cream,12,2001,
50,Ride Wit Me,Nelly,2001,
51,Only Time,Enya,2001,
52,Where The Party At,Jagged Edge with Nelly,2001,
53,Standing Still,Jewel,2001,
54,Pop,N Sync,2001,
55,This Is Me,Dream,2001,
56,Never Had A Dream Come True,S Club 7,2001,
57,Crazy,K-Ci & JoJo,2001,
58,You Make Me Sick,Pink,2001,
59,What It Feels Like For A Girl,Madonna,2001,
60,E.I.,Nelly,2001,
61,Dig In,Lenny Kravitz,2001,
62,Get Ur Freak On,Missy Elliott,2001,
63,Breathless,The Corrs,2001,
64,Every Other Time,LFO,2001,
65,Yellow,Coldplay,2001,
66,Best I Ever Had (Grey Sky Morning),Vertical Horizon,2001,
67,One Minute Man,Missy Elliott,2001,
68,I Do,Toya,2001,
69,Fly Away From Here,Aerosmith,2001,
70,I'm A Slave 4 U,Britney Spears,2001,
71,Smooth Criminal,Alien Ant Farm,2001,
72,Still On Your Side,BBMak,2001,
73,No More (Baby I'ma Do Right),3LW,2001,
74,My Everything,98 Degrees,2001,
75,Ms. Jackson,Outkast,2001,
76,Start The Commotion,The Wiseguys,2001,
77,Free,Mya,2001,
78,Baby,Come On Over (This Is Our Night),2001,
79,Hemmorhage (In My Hands),Fuel,2001,
80,Drowning,Backstreet Boys,2001,
81,Around The World (La La La‰Û_),ATC,2001,
82,Thank You For Loving Me,Bon Jovi,2001,
83,AM To PM,Christina Milian,2001,
84,Izzo (H.O.V.A.),Jay-Z,2001,
85,Flavor Of The Week,American Hi-Fi,2001,
86,What's Going On,All Star Tribute,2001,
87,Stronger,Britney Spears,2001,
88,One More Time,Daft Punk,2001,
89,I'm A Believer,Smash Mouth,2001,
90,We Fit Together,O-Town,2001,
91,Differences,Ginuwine,2001,
92,Follow Me,Uncle Kracker,2001,
93,There You'll Be,Faith Hill,2001,
94,So In Love With Two,Mikaila,2001,
95,In My Pocket,Mandy Moore,2001,
96,Mad Season,Matchbox 20,2001,
97,Bad Day,Fuel,2001,
98,What's Your Fantasy ,Ludacris,2001,
99,Liquid Dreams,O-Town,2001,
100,Babylon,David Gray,2001,
1,A Thousand Miles,Vanessa Carlton,2002,
2,Get The Party Started,Pink,2002,
3,Complicated,Avril Lavigne,2002,
4,Dilemma,Nelly featuring Kelly Rowland,2002,
5,In The End,Linkin Park,2002,
6,Ain't It Funny,Jennifer Lopez,2002,
7,U Got It,Bad Usher,2002,
8,All You Wanted,Michelle Branch,2002,
9,Don't Let Me Get Me,Pink,2002,
10,Hot In Herre,Nelly,2002,
11,Hey Baby,No Doubt,2002,
12,Can't Get You Out Of My Head,Kylie Minogue,2002,
13,Lose Yourself,Eminem,2002,
14,The Middle,Jimmy Eat World,2002,
15,The Game Of Love,Santana featuring Michelle Branch,2002,
16,U Don't Have To Call,Usher,2002,
17,Like I Love You,Justin Timberlake,2002,
18,Girlfriend,N Sync,2002,
19,Wherever You Will Go,The Calling,2002,
20,My Sacrifice,Creed,2002,
21,Ordinary Day,Vanessa Carlton,2002,
22,Underneath It All,No Doubt,2002,
23,Jenny From The Block,Jennifer Lopez,2002,
24,Just Like A Pill,Pink,2002,
25,Blurry,Puddle Of Mudd,2002,
26,Gangsta Lovin',Eve featuring Alicia Keys,2002,
27,Hero,Chad Kroeger featuring Josey Scott,2002,
28,Days Go By,Dirty Vegas,2002,
29,Foolish,Ashanti,2002,
30,Escape,Enrique Iglesias,2002,
31,Without Me,Eminem,2002,
32,No Such Thing,John Mayer,2002,
33,Can't Fight The Moonlight,LeAnn Rimes,2002,
34,Hella Good,No Doubt,2002,
35,Heaven,DJ Sammy & Yanou,2002,
36,Whenever,Wherever,2002,
37,Family Portrait,Pink,2002,
38,One Last Breath,Creed,2002,
39,7 Days,Craig David,2002,
40,Hands Clean,Alanis Morissette,2002,
41,Die Another Day,Madonna,2002,
42,Sk8er Boi,Avril Lavigne,2002,
43,A Woman's Worth,Alicia Keys,2002,
44,Love At First Sight,Kylie Minogue,2002,
45,Underneath Your Clothes,Shakira,2002,
46,I Need A Girl (Part One),P. Diddy featuring Usher & Loon,2002,
47,Full Moon,Brandy,2002,
48,Wasting My Time,Default,2002,
49,Soak Up The Sun,Sheryl Crow,2002,
50,Gotta Get Thru This,Daniel Bedingfield,2002,
51,Always On Time,Ja Rule featuring Ashanti,2002,
52,#1,Nelly,2002,
53,Livin' It Up,Ja Rule featuring Case,2002,
54,Goodbye To You,Michelle Branch,2002,
55,If I Could Go,Angie Martinez,2002,
56,Stole ,kelly Rowland,2002,
57,Just A Friend 2002,Mario,2002,
58,Roll Out (My Business),Ludacris,2002,
59,I'm Gonna Be Alright,Jennifer Lopez featuring Nas,2002,
60,Happy,Ashanti,2002,
61,No More Drama,Mary J. Blige,2002,
62,Somewhere Out There,Our Lady Peace,2002,
63,Video,India.Arie,2002,
64,Walking Away,Craig David,2002,
65,A Moment Like This,Kelly Clarkson,2002,
66,Rainy Dayz,Mary J. Blige featuring Ja Rule,2002,
67,What About Us?,Brandy,2002,
68,I Need A Girl (Part Two),P. Diddy & Ginuwine featuring Loon,2002,
69,(This Is) A Song For The Lonely,Cher,2002,
70,What's Luv?,Fat Joe featuring Ashanti,2002,
71,A New Day Has Come,Celine Dion,2002,
72,The Whole World,Outkast,2002,
73,Hey Ma,Cam'ron,2002,
74,More Than A Woman,Aaliyah,2002,
75,Disease,Matchbox 20,2002,
76,Oops (Oh My),Tweet,2002,
77,Here Is Gone,Goo Goo Dolls,2002,
78,Caramel City,High featuring Eve,2002,
79,Objection (Tango),Shakira,2002,
80,Out Of My Heart,BBMak,2002,
81,Girl Talk,TLC,2002,
82,Cleanin' Out My Closet,Eminem,2002,
83,Too Bad,Nickelback,2002,
84,In A Little While,Uncle Kracker,2002,
85,For All Time,Soluna,2002,
86,Wrong Impression,Natalie Imbruglia,2002,
87,Everyday,Dave Matthews Band,2002,
88,Starry Eyed Surprise,Paul Oakenfold,2002,
89,Where Are You Going,Dave Matthews Band,2002,
90,Insatiable,Darrin Hayes,2002,
91,Rapture (Tastes So Sweet),iio,2002,
92,Son Of A Gun,Janet Jackson,2002,
93,The World's Greatest,R. Kelly,2002,
94,Something More,Train,2002,
95,Don't Say Goodbye,Paulina Rubio,2002,
96,Walk With Me,Seven & The Sun,2002,
97,I Do (Wanna Get Close To You),3LW,2002,
98,Steve McQueen,Sheryl Crow,2002,
99,I'm Not A Girl,Not Yet A Woman,2002,
100,Running Away,Hoobastank,2002,
1,Crazy In Love,BeyoncÌ© Knowles featuring Jay-Z,2003,
2,Hey Ya!,Outkast,2003,
3,Here Without You,3 Doors Down,2003,
4,Baby Boy,BeyoncÌ© Knowles featuring Sean Paul,2003,
5,Miss Independent,Kelly Clarkson,2003,
6,Beautiful,Christina Aguilera,2003,
7,Rock Your Body,Justin Timberlake,2003,
8,Where Is The Love?,Black Eyed Peas w / Justin Timberlake,2003,
9,When I'm Gone,3 Doors Down,2003,
10,All I Have,Jennifer Lopez featuring LL Cool J,2003,
11,Shake Ya Tailfeather,Nelly,2003,
12,Unwell,Matchbox,2003,
13,Picture,Kid Rock & Sheryl Crow,2003,
14,In Da Club,50 Cent,2003,
15,I'm With You,Avril Lavigne,2003,
16,Bring Me To Life,Evanescence,2003,
17,Cry Me A River,Justin Timberlake,2003,
18,Can't Hold Us Down,Christina Aguilera featuring Lil' Kim,2003,
19,Harder To Breathe,Maroon 5,2003,
20,Why Don't You & I,Santana featuring Alex Band,2003,
21,Someday,Nickelback,2003,
22,Suga Suga Baby,Bush featuring Frankie J,2003,
23,Your Body Is A Wonderland,John Mayer,2003,
24,Are You Happy Now?,Michelle Branch,2003,
25,Landslide,Dixie Chicks,2003,
26,The Remedy (I Won't Worry),Jason Mraz,2003,
27,(There's Gotta Be) More To Life,Stacie Orrico,2003,
28,I Know What You Want,Busta Rhymes & Mariah Carey ,2003,
29,It's My Life,No Doubt,2003,
30,Clocks,Coldplay,2003,
31,Stacy's Mom,ountains Of Wayne,2003,
32,All The Things She Said,t.A.T.u.,2003,
33,Bump Bump Bump,B2K & P. Diddy,2003,
34,Get Busy,Sean Paul,2003,
35,Rock Wit U (Awww Baby),Ashanti,2003,
36,If You're Not The One,Daniel Bedingfield,2003,
37,Headstrong,Trapt,2003,
38,Bright Lights,Matchbox 20,2003,
39,Fighter,Christina Aguilera,2003,
40,Perfect,Simple Plan,2003,
41,03 Bonnie & Clyde,Jay-Z featuring BeyoncÌ© Knowles,2003,
42,Mesmerize,Ja Rule featuring Ashanti,2003,
43,Intuition,Jewel,2003,
44,Ignition,R. Kelly,2003,
45,Drift Away,Uncle Kracker featuring Dobie Gray,2003,
46,White Flag,Dido,2003,
47,Work It,Missy Elliott,2003,
48,Miss You,Aaliyah,2003,
49,Invisible,Clay Aiken,2003,
50,Senorita,Justin Timberlake,2003,
51,Addicted,Simple Plan,2003,
52,21 Questions,50 Cent featuring Nate Dogg,2003,
53,My Love Is Like‰Û_,Wo Mya,2003,
54,Don't Mess With My Man,Nivea,2003,
